NOMBRE_ELECCION,AÑO_ELECCION,PAIS,REGION,DEPTO,MUNICIPIO,PARTIDO,NOMBRE_PARTIDO,SEXO,RAZA,ANALFABETOS,ALFABETOS,SEXO,RAZA,PRIMARIA,NIVEL MEDIO,UNIVERSITARIOS
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Sensuntepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2298,4800,hombres,INDIGENAS,1471,450,2879
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Ilobasco,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2448,5536,hombres,INDIGENAS,1807,2966,763
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Victoria,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1724,3638,hombres,INDIGENAS,1421,1183,1034
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,San Isidro,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,583,2772,hombres,INDIGENAS,1747,895,130
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Jutiapa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,31,5010,hombres,INDIGENAS,2576,602,1832
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Tejutepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,883,5972,hombres,INDIGENAS,2129,2947,896
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Dolores,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1160,4563,hombres,INDIGENAS,139,1879,2545
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Cinquera,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,689,3472,hombres,INDIGENAS,275,263,2934
Elecciones Municipales,2005,EL SALVADOR,REGION 1,Cabañas   ,Guacotecti,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,49,3094,hombres,INDIGENAS,678,1521,895
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Chalatenango,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,904,2996,hombres,INDIGENAS,2060,693,243
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Nueva Concepción,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2807,6042,hombres,INDIGENAS,1986,1752,2304
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,La Palma,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,819,6088,hombres,INDIGENAS,2541,2503,1044
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Tejutla,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1732,7004,hombres,INDIGENAS,2080,2113,2811
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,La Reina,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,970,7497,hombres,INDIGENAS,1661,2958,2878
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Arcatao,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1708,3195,hombres,INDIGENAS,542,1376,1277
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Ignacio,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,101,6321,hombres,INDIGENAS,2785,2374,1162
